sheet,source_log,process_original,process_normalized,run_number_in_same_log,step_number,step_original,step_normalized,step_seconds,total_seconds_at_step,severity,process_run_total_seconds,average_step_seconds_ignoring_dates,average_process_total_seconds_ignoring_dates
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,156,Template refresh decision: FULL_BUILD - Template - Master List (template sheet did not exist; no stored signature),Template refresh decision: FULL_BUILD - Template - Master List (template sheet did not exist; no stored signature),0.000,77.272,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,157,Template timing mode: FIRST_BUILD - Template - Master List,Template timing mode: FIRST_BUILD - Template - Master List,0.000,77.272,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,158,Full template build required: Template - Master List,Full template build required: Template - Master List,0.000,77.272,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,159,Set template grid from dashboard: Template - Master List (100 rows x 37 cols),Set template grid from dashboard: Template - Master List (100 rows x 37 cols),0.547,77.819,OK,119.558,0.527,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,160,Create template fast path - clear skipped for blank sheet: Template - Master List,Create template fast path - clear skipped for blank sheet: Template - Master List,0.000,77.819,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,161,Apply title rows: Template - Master List,Apply title rows: Template - Master List,0.175,77.994,OK,119.558,0.202,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,162,Apply header row: Template - Master List,Apply header row: Template - Master List,0.021,78.015,OK,119.558,0.021,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,163,Apply alternating color rules: Template - Master List,Apply alternating color rules: Template - Master List,0.778,78.793,OK,119.558,0.696,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,164,Apply data row base style: Template - Master List,Apply data row base style: Template - Master List,0.000,78.793,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,165,Apply column widths: Template - Master List,Apply column widths: Template - Master List,0.153,78.946,OK,119.558,0.116,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,166,Apply governed text/date/number formats: Template - Master List,Apply governed text/date/number formats: Template - Master List,0.004,78.950,OK,119.558,0.004,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,167,Apply hidden/show column settings: Template - Master List,Apply hidden/show column settings: Template - Master List,0.002,78.952,OK,119.558,0.004,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,168,No existing filter to remove: Template - Master List,No existing filter to remove: Template - Master List,0.305,79.257,OK,119.558,0.340,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,169,Create filter: Template - Master List,Create filter: Template - Master List,0.418,79.675,OK,119.558,0.328,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,170,Apply row heights skipped for template: Template - Master List,Apply row heights skipped for template: Template - Master List,0.000,79.675,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,171,Apply full template formatting: Template - Master List,Apply full template formatting: Template - Master List,0.000,79.675,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,172,Write metadata/signature: Template - Master List,Write metadata/signature: Template - Master List,0.065,79.740,OK,119.558,0.088,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,173,Final date/number format enforcement: Template - Master List,Final date/number format enforcement: Template - Master List,0.003,79.743,OK,119.558,0.005,85.917
